date,actual,forecast_ar,model
2018-01-01,-0.01249433127693056,-0.0052574102395414775,AR
2018-02-01,0.00874145269283399,0.008090801124275673,AR
2018-03-01,0.00749011578770897,0.004087043168225097,AR
2018-04-01,-0.00754403903056832,-0.0028234264600974675,AR
2018-05-01,0.00553295155101096,0.0066658230426351085,AR
2018-06-01,0.00571147559946982,0.004641589810088151,AR
2018-07-01,-0.00201458787237918,-8.990453319267605e-4,AR
2018-08-01,0.01415212771548013,0.0037707877479362145,AR
2018-09-01,-0.00361365203253072,-0.003099837017720928,AR
2018-10-01,0.00132753847819344,0.0025779311535324666,AR
2018-11-01,0.00275488824566139,0.005859943412346192,AR
2018-12-01,-0.00278405409337878,0.0031132283679012733,AR
2019-01-01,0.0061165637347571,0.005428791526160806,AR
2019-02-01,0.00883370241991254,0.0018556062311526557,AR
2019-03-01,-0.01256514872331138,-0.0030702115480444095,AR
2019-04-01,0.01344922542668403,0.010122457556325626,AR
2019-05-01,0.00971947637365477,0.0010125591275375332,AR
2019-06-01,-0.01092962493626625,-0.006718567268515608,AR
2019-07-01,0.01499479709435558,0.0087469515359716,AR
2019-08-01,-6.072600360500502e-4,1.0609513162660265e-4,AR
2019-09-01,-0.00821858556540799,-4.2528185219864093e-4,AR
2019-10-01,0.00928986948669763,0.011238506780555546,AR
2019-11-01,-0.0043971822118678,0.002209842140228412,AR
2019-12-01,0.00371614170471801,0.0036337814515109554,AR
2020-01-01,0.01002369776670431,0.0041997244807634865,AR
2020-02-01,0.00115173091238496,-0.0033073215959850753,AR
2020-03-01,-0.10327469686954416,5.759790274944749e-4,AR
2020-04-01,-0.1481066235899462,0.08059901928734776,AR
2020-05-01,0.0456129950233981,-0.13787279335575633,AR
2020-06-01,0.04926638370506531,0.10251432446584346,AR
2020-07-01,0.0345659524743338,0.005614293495503102,AR
2020-08-01,0.00380638754042728,0.025956005707927703,AR
2020-09-01,0.03491562145489269,-0.020561373476432037,AR
2020-10-01,0.02452140117758627,0.0010486486795689663,AR
2020-11-01,0.0070503578810932,-0.005036218935508558,AR
2020-12-01,0.01898220044022558,-0.004004260229991773,AR
2021-01-01,-0.0043672045410732,0.002089565288149353,AR
2021-02-01,0.02089057029800845,-0.005503242049339508,AR
2021-03-01,0.01795395073793315,0.007135393249192596,AR
2021-04-01,-0.02903772846749763,2.627347940857535e-4,AR
2021-05-01,-0.05536840492275274,-0.00851566394248511,AR
2021-06-01,0.07237378455923515,-0.00549243377776534,AR
2021-07-01,0.01253764223360587,0.031094448865665023,AR
2021-08-01,-0.00920565412263041,-0.01483197271378499,AR
2021-09-01,0.05097268548441835,5.662679431565513e-5,AR
2021-10-01,-0.00802527549187726,0.005653805356752636,AR
2021-11-01,0.01171850090302406,-0.015403717259719582,AR
2021-12-01,0.01602671918609211,0.010216627459588757,AR
2022-01-01,-0.02728023907313836,-0.004666475777161637,AR
2022-02-01,0.01355440990154388,-0.0032922671832517846,AR
2022-03-01,0.01761682052380386,0.011350461253550928,AR
2022-04-01,0.00130287819683516,-0.002459676397868798,AR
2022-05-01,0.00156741928139947,0.003175272152005891,AR
2022-06-01,-0.00396064477347213,0.0020490842812692545,AR
2022-07-01,-0.00709488968163452,-3.3953016628354937e-4,AR
2022-08-01,0.01544421784483773,0.003073656529306037,AR
2022-09-01,0.0106074549192785,0.006502208267964747,AR
2022-10-01,-0.01191929410099756,3.627599904468323e-4,AR
2022-11-01,-0.02527833594814144,5.657600485511832e-4,AR
2022-12-01,0.01950118025587688,0.0012998558992608456,AR
2023-01-01,0.00828637553759836,0.010365004076150397,AR
2023-02-01,6.604350756891364e-4,-0.0013238831188897644,AR
2023-03-01,0.00355744093260845,0.005339571967771902,AR
2023-04-01,-0.02112516484936577,9.756602217200076e-4,AR
2023-05-01,0.01339645731564598,-0.0018963632804394593,AR
2023-06-01,0.02102304446981318,0.010502835165975196,AR
2023-07-01,-0.02817684939186282,3.372140705568756e-5,AR
2023-08-01,0.01495395250937381,-0.0025117545594999582,AR
2023-09-01,0.00115508837052669,0.01191433322526945,AR
2023-10-01,-0.0153304074180145,-0.006052944165740979,AR
2023-11-01,0.0203462322039023,0.006273842342779693,AR
2023-12-01,-0.00947229171209507,0.007021128069745548,AR
